Business Name,Industry,Location,Website,Phone,Contact Name,Contact Email,Contact Title,Enrichment Source,SEO Tech Score,SEO Content Score,Est. Lost Revenue,Master Search Block,Harvested At
"Diversified Truck & Equipment Sales, Inc.",Auto Body,"3431 E Main St, Mesa, AZ 85213, USA",https://www.diversifiedtrucks.com/,(480) 854-7373,"Diversified Truck & Equipment Sales, Inc. Representative",rchapman@diversifiedtrucks.com,,The Probe (Regex),22,18,"$468,000 annually",auto,2026-02-16T02:46:11.000Z
Desert Classic Mustangs,Auto Body,"1850 E 6th St, Tempe, AZ 85288, USA",https://desertclassicmustangs.com/,(480) 292-5426,Desert Classic Mustangs Representative,react@16.14.0,,The Probe (Regex),5,10,"$36,000 annually",auto,2026-02-16T02:40:09.000Z
Arizona Collision Center - Tempe Body Shop and Collision Repair,Auto Body,"215 S Industrial Dr, Tempe, AZ 85288, USA",https://arizonacollisioncenter.com/,(480) 668-3105,Rob,rob@arizonacollisioncenter.com,,Gemini Ultra Extract (85%),15,5,"$168,000 per year",auto,2026-02-16T02:43:44.000Z
Access Truck Parts,Auto Body,"2757 E Chambers St, Phoenix, AZ 85040, USA",https://accesstruckparts.com/,(602) 437-6948,Access Truck Parts Representative,sales@accesstruckparts.com,,The Probe (Regex),18,12,"$192,000 / year",auto,2026-02-16T02:46:11.000Z
Apex Customs,Auto Body,"1522 W Todd Dr c104, Tempe, AZ 85283, USA",https://www.apexcustoms.com/,(480) 331-3924,Apex Customs Representative,sales@apexcustoms.com,,The Probe (Regex),35,25,"$144,000 / year",auto,2026-02-16T02:40:09.000Z
Chapman Collision Tempe,Auto Body,"5301 S Kyrene Rd, Tempe, AZ 85283, USA",https://www.chapmancollision.com/locations/chapman-collision-tempe,(480) 752-1475,Chapman Collision Tempe Representative,sales@audioftucson.com,,The Probe (Regex),55,45,"$10,500 per month ($126,000 annually), based on missing an estimated 7 qualified leads per month at a $3,000 Average Repair Order and a 50% close rate.",auto,2026-02-16T02:43:44.000Z
Chapman Commercial Vehicle Service Center,Auto Body,"6011 S Kyrene Rd, Tempe, AZ 85283, USA",https://www.chapmanfleet.com/service,(480) 752-1682,Chapman Commercial Vehicle Service Center Representative,sales@chapmanchevy.com,,The Probe (Regex),15,10,"$90,000 / year",auto,2026-02-16T02:46:11.000Z
Charly's Garage,Auto Body,"948 W 1st Ave, Mesa, AZ 85210, USA",https://www.charlysgarage.com/,(480) 833-9080,Charly's Garage Representative,sales@charlysgarage.com,,The Probe (Regex),5,0,"$27,000 annually (based on missing ~5 high-value jobs per month @ $450 ARO from local search).",auto,2026-02-16T02:40:09.000Z
Curry Supply Company - Phoenix,Auto Body,"1145 W Gary Ave, Gilbert, AZ 85233, USA",https://www.currysupply.com/,(602) 661-6590,Curry Supply Company - Phoenix Representative,sales@currysupply.com,,The Probe (Regex),65,50,"$360,000 / year",auto,2026-02-16T02:46:11.000Z
Midco Sales - Parts Center,Auto Body,"6633 W Willis Rd, Chandler, AZ 85226, USA",https://midcosales.com/parts-department/,(480) 999-0607,Decision Maker,sales@midcosales.com,,Gemini Ultra Extract (75%),15,10,"$105,700 annually",auto,2026-02-16T02:46:11.000Z
RWC Group,Auto Body,"600 N 75th Ave, Phoenix, AZ 85043, USA",http://www.rwcgroup.com/,(602) 307-1050,RWC Group Representative,sales@rwcgroup.com,,The Probe (Regex),62,55,"$1.9M in lost annual profit, calculated from missed lead generation in high-margin sales and service verticals due to poor SEO, low conversion rates, and a high-friction user experience.",auto,2026-02-16T02:46:11.000Z
Trucks Only/BDM Customs,Auto Body,"524 S Country Club Dr, Mesa, AZ 85210, USA",https://www.trucksonlyservice.com/,(480) 459-5682,Trucks Only/BDM Customs Representative,sales@trucksonlyservice.com,,The Probe (Regex),25,15,"$85,000+ per year",auto,2026-02-16T02:46:11.000Z
San Tan Auto Body,Auto Body,"18415 E San Tan Blvd, Queen Creek, AZ 85142, USA",http://santanautobodyaz.com/,(480) 988-1598,San Tan Auto Body Representative,santanbodyshop@gmail.com,,The Probe (Regex),10,5,"$37,500+ per year",auto,2026-02-16T02:43:44.000Z
All Fleet Services,Auto Body,"2710 E Washington St, Phoenix, AZ 85034, USA",https://all-fleet.com/,(602) 845-3682,All Fleet Services Representative,service@all-fleet.com,,The Probe (Regex),30,20,"$3,750 per month, based on missing just one new small-fleet contract (LTV $45k) per quarter.",auto,2026-02-16T02:46:11.000Z
HQ Auto Body and Paint,Auto Body,"202 N 19th Ave, Phoenix, AZ 85009, USA",http://www.hqautobodyandpaint.com/,(602) 870-0579,HQ Auto Body and Paint Representative,service@hqautobodyandpaint.com,,The Probe (Regex),15,10,"$90,000 annually",auto,2026-02-16T02:43:44.000Z
Onsite Truck & Equipment Repair,Auto Body,"2830 W Osborn Rd, Phoenix, AZ 85017, USA",https://www.onsitetruckaz.com/?utm_campaign=gmb,(602) 978-2555,Onsite Truck & Equipment Repair Representative,slick-carousel@1.8.1,,The Probe (Regex),15,10,"$9,600 per month / $115,200 per year",auto,2026-02-16T02:46:11.000Z
Superstition Specialty Cars,Auto Body,"7931 E Pecos Rd #149, Mesa, AZ 85212, USA",http://www.sscfast.com/,(602) 200-4362,Superstition Specialty Cars Representative,ssc_fast@yahoo.com.,,The Probe (Regex),15,10,"$32,400 annually (calculated based on missing ~38 qualified site visitors per month, converting at 7% to leads and 50% to customers, with a $2,000 average service ticket).",auto,2026-02-16T02:40:09.000Z
Custom Steering Wheel Art Arizona,Auto Body,"9175 E Pima Center Pkwy #3, Scottsdale, AZ 85258, USA",http://steeringwheelart.com/,(480) 939-1208,Custom Steering Wheel Art Arizona Representative,steeringwheelart@gmail.com,,The Probe (Regex),5,10,"$25,500 per year",auto,2026-02-16T02:40:09.000Z
Ultimate Collision,Auto Body,"8112 N 75th Ave A, Peoria, AZ 85345, USA",https://ucrvaz.com/,(623) 289-9335,Ultimate Collision Representative,sunny@ucrvaz.com,,The Probe (Regex),15,10,"$210,000 annually. (Calculation: 8,500 monthly searches x 2% capture rate = 170 visitors/mo. 170 x 10% conversion = 17 leads/mo. 17 leads x 30% close rate = 5 jobs/mo. 5 jobs x $3,500 avg. repair order = $17,500/mo x 12 = $210,000/yr).",auto,2026-02-16T02:43:44.000Z
Classic Performance Restorations,Auto Body,"260 S Alma School Rd, Mesa, AZ 85210, USA",http://www.classicperformancerestoration.com/,(480) 529-3700,Classic Performance Restorations Representative,tom@classicperformancerestoration.com,,The Probe (Regex),15,10,"$600,000+ annually",auto,2026-02-16T02:40:09.000Z
Grand Prix Collision Repair,Auto Body,"3825 W Indian School Rd, Phoenix, AZ 85019, USA",https://gprepair.com/,(602) 272-3517,Grand Prix Collision Repair Representative,tony@gprepair.com,,The Probe (Regex),5,10,"$108,000 / year",auto,2026-02-16T02:43:44.000Z
Arizona Custom Car Design,Auto Body,"54 N 48th Ave Ste B, Phoenix, AZ 85043, USA",http://www.arizonacustomcardesign.com/,(602) 491-3654,Arizona Custom Car Design Representative,travis@arizonacustomcardesign.com,,The Probe (Regex),15,10,"$124,200 annually",auto,2026-02-16T02:40:09.000Z
Fleetwest Transferable Truck Bodies,Auto Body,"6007 S 40th St suite 5, Phoenix, AZ 85042, USA",http://www.fleetwest.net/,(480) 736-8800,Fleetwest Transferable Truck Bodies Representative,webmaster@fleetwest.net,,The Probe (Regex),45,35,"$270,000 annually",auto,2026-02-16T02:46:11.000Z
Blackwell Automotive,Auto Body,"15440 N 40th St, Phoenix, AZ 85032, USA",http://www.blackwellautomotive.com/,(602) 992-5478,Blackwell Automotive Representative,wght@200..700,,The Probe (Regex),15,10,"$54,000 / year",auto,2026-02-16T02:40:09.000Z
Integrity Fleet Service,Auto Body,"3510 S 144th St, Gilbert, AZ 85297, USA",https://www.autorepairgilbertaz.com/,(480) 209-5405,Integrity Fleet Service Representative,wght@400..700,,The Probe (Regex),15,10,"$120,000 Annually",auto,2026-02-16T02:46:11.000Z
Solutions Fleet LLC - Mobile Fleet Repair Services,Auto Body,"2311 W Kachina Trail, Phoenix, AZ 85041, USA",http://www.solutionsfleet.com/,(602) 516-2049,Solutions Fleet LLC - Mobile Fleet Repair Services Representative,wweeiihhuuaanngg@gmail.com,,The Probe (Regex),5,0,"$25,000 - $35,000 per year (conservative estimate from organic search alone).",auto,2026-02-16T02:46:11.000Z
